Total_Items,Time_Spent_ in Course,Total_Logins,Activity_inside_content_ area,User_Activity_in_Goup,Nbre_of_clics,Nbre_of_ message_ participation,join_session,Time_Spent_on_Session_Attendence,Level
0.506493506,1,0.316753927,0.370165746,0.097560976,0.592592593,0.444444444,0.555555556,0.466666667,PE
0.194805195,0.005377721,0.164921466,0.104972376,0.024390244,0.296296296,0.111111111,0,0.066666667,NE
0.402597403,0.109859155,0.253926702,0.241252302,0.008130081,0.296296296,0.333333333,0.777777778,0.6,PE
0.480519481,0.43815621,0.285340314,0.237569061,0.097560976,0.407407407,0.333333333,0.888888889,0.666666667,PE
0.168831169,0.001024328,0.083769634,0.081031308,0.406504065,0,0,0.333333333,0.4,NE
0.220779221,0.358770807,0.083769634,0.305709024,0.024390244,0.259259259,0.111111111,0.777777778,0.666666667,PE
0.181818182,0.079129321,0.04973822,0,0.016260163,0.148148148,0,0.222222222,0.2,NE
0.220779221,0.358770807,0.083769634,0.090239411,0.260162602,0.407407407,0.333333333,0.888888889,0.6,PE
0.558441558,0.488604353,0.395287958,0.340699816,0.422764228,0.925925926,0.777777778,1,0.6,AE
0.714285714,0.488860435,0.497382199,0.397790055,0.260162602,0.666666667,0.777777778,0.888888889,0.666666667,AE
0.376623377,0.258642766,0.227748691,0.215469613,0.089430894,0.407407407,0.222222222,0.444444444,0.4,PE
0.883116883,0.334443022,0.497382199,0.640883978,0.504065041,1,0.555555556,1,0.533333333,AE
0.441558442,0.571318822,0.073298429,0.29281768,0.154471545,0.62962963,0.222222222,0.555555556,0.666666667,PE
0.207792208,0.440717029,0.256544503,0.368324125,0.227642276,0.407407407,0.111111111,1,0.666666667,PE
0.454545455,0.304993598,0.102094241,0.123388582,0.113821138,0.814814815,0,0.777777778,0.6,PE
0.74025974,0.061715749,0.123036649,0.103130755,0,0.259259259,0,0.444444444,0.466666667,NE
0.155844156,0.110371319,0.185863874,0.178637201,0.024390244,0.407407407,0.555555556,0.666666667,0.4,NE
0.311688312,0.420230474,0.298429319,0.609576427,0.520325203,0.814814815,0.333333333,1,0.733333333,AE
0.350649351,0.05915493,0.07591623,0.097605893,0.154471545,0.407407407,0.111111111,0.777777778,0.733333333,NE
0,0.080153649,0.02617801,0.092081031,0.081300813,0.444444444,0.111111111,0.555555556,0.466666667,NE
0.272727273,0.166453265,0.115183246,0.287292818,0.268292683,0.259259259,0,0.888888889,0.066666667,NE
0.714285714,0.033546735,0.327225131,0.366482505,0.317073171,0.444444444,0.333333333,0.888888889,0.6,PE
0.623376623,0.471446863,0.481675393,0.637200737,0.390243902,0.777777778,0.777777778,1,0.666666667,AE
0.441558442,0.154673496,0.143979058,0.17679558,0.024390244,0.555555556,0.666666667,0.222222222,0.4,NE
